sensor,t11,t12,t21,t22,t31,t32,t41,t42,t51,t52,t61,t62
52,0.22312,0.18848,0.12464,0.09632,0.13528,0.1452,0.58024,0.31312,0.08856,0.28776,0.15264,0.27352
53,0.22048,0.19384,0.12328,0.09616,0.14112,0.15176,0.4944,0.68984,0.26024,0.28752,0.15248,0.2736
54,0.22072,0.19376,0.12752,0.09608,0.1352,0.14464,0.54056,0.68856,0.3424,0.0716,0.15168,0.27304
55,0.22168,0.18856,0.12344,0.09592,0.1356,0.14608,0.53864,0.68856,0.3424,0.13712,0.15176,0.27352
56,0.22352,0.18872,0.12376,0.09688,0.1356,0.14448,0.0624,0.0796,0.04808,0.05984,0.15288,0.27224
57,0.218,0.198,0.12328,0.098,0.13568,0.14272,0.46088,0.36688,0.27968,0.05976,0.15736,0.2736
58,0.22152,0.19272,0.12416,0.09592,0.13552,0.14432,0.5408,0.36792,0.34216,0.09448,0.15648,0.27488
59,0.22152,0.1928,0.12392,0.096,0.1344,0.14304,0.44872,0.3596,0.34224,0.3728,0.15712,0.27488
60,0.2216,0.1928,0.12408,0.09616,0.13448,0.14312,0.0364,0.35952,0.34232,0.3728,0.15488,0.27648
61,0.22168,0.1928,0.124,0.09632,0.13432,0.14336,0.34344,0.35952,0.34272,0.3728,0.15456,0.27728
62,0.2224,0.19272,0.12464,0.09696,0.1348,0.14192,0.2972,0.598,0.362,0.34328,0.1544,0.27552
63,0.22304,0.19264,0.12664,0.0972,0.1332,0.14184,0.0976,0.36976,0.36208,0.34344,0.15704,0.27656
64,0.22576,0.19248,0.12664,0.10696,0.1284,0.13968,0.28568,0.45616,0.26336,0.07144,0.15488,0.27696
65,0.22568,0.1972,0.12544,0.09664,0.1284,0.14184,0.29792,0.59968,0.26344,0.306,0.15488,0.2772
66,0.22568,0.20096,0.124,0.09672,0.1336,0.14176,0.63016,0.59952,0.11992,0.0944,0.15544,0.27768
67,0.2256,0.19696,0.12408,0.09656,0.1336,0.14176,0.62992,0.15504,0.39024,0.19784,0.1556,0.27768
68,0.22552,0.19696,0.1252,0.09952,0.1312,0.13976,0.45224,0.11664,0.26072,0.19792,0.15592,0.27792
69,0.22664,0.19696,0.12296,0.096,0.12824,0.13544,0.45192,0.63592,0.12,0.12512,0.15624,0.27792
70,0.22624,0.19712,0.12488,0.09584,0.12952,0.13776,0.28432,0.63592,0.11992,0.09408,0.15848,0.27976
71,0.226,0.19768,0.12208,0.09592,0.12944,0.13776,0.29792,0.77392,0.25752,0.39216,0.15736,0.27944
72,0.22824,0.20224,0.12192,0.09608,0.13152,0.13552,0.63008,0.35472,0.2576,0.19776,0.15688,0.2792
73,0.23136,0.2004,0.12344,0.09632,0.12728,0.13384,0.45272,0.60504,0.25744,0.28488,0.1568,0.2792
74,0.23136,0.2056,0.12368,0.09552,0.12944,0.13376,0.6312,0.356,0.12336,0.2848,0.15664,0.27824
75,0.23448,0.20152,0.1232,0.09568,0.12928,0.13376,0.60648,0.59448,0.12328,0.13568,0.15664,0.27792
76,0.23432,0.20592,0.12488,0.09576,0.12752,0.13512,0.28408,0.34992,0.25768,0.21032,0.15672,0.27784
77,0.23048,0.2004,0.12352,0.09552,0.12728,0.13456,0.2932,0.09088,0.25752,0.28472,0.15672,0.2792
78,0.23024,0.2016,0.12344,0.09488,0.12728,0.13128,0.10064,0.78144,0.25752,0.2848,0.15888,0.2792
79,0.2308,0.2016,0.1232,0.09312,0.12232,0.13104,0.48832,0.78144,0.0488,0.30736,0.1556,0.2796
80,0.2344,0.206,0.12224,0.09584,0.12048,0.12848,0.52632,0.1492,0.25544,0.28248,0.16112,0.28176
81,0.2328,0.20624,0.1208,0.09312,0.11968,0.12848,0.29296,0.60656,0.25592,0.28224,0.1612,0.28176
82,0.23864,0.2064,0.12016,0.0932,0.11936,0.12816,0.30552,0.66384,0.2536,0.28232,0.15624,0.27864
83,0.2356,0.20552,0.1236,0.09248,0.12032,0.13128,0.03536,0.2796,0.25392,0.28224,0.15784,0.2804
84,0.23624,0.2044,0.12376,0.09736,0.12,0.1256,0.63128,0.11192,0.34136,0.28232,0.1568,0.28056
85,0.23376,0.20432,0.12232,0.0932,0.1196,0.12552,0.42896,0.37184,0.34136,0.37224,0.15688,0.28064
86,0.23392,0.20656,0.12424,0.09288,0.11944,0.12912,0.42944,0.1408,0.2736,0.28392,0.15816,0.28056
87,0.23576,0.20728,0.11952,0.0924,0.11952,0.12888,0.39032,0.78048,0.2736,0.282,0.16032,0.28048
88,0.23584,0.20704,0.11952,0.09256,0.11568,0.12848,0.03544,0.74856,0.34392,0.282,0.15984,0.28048
